image_id,image_path,label_path,labels,cleaned_image_path
496120,data//test\10001\live\496120.png,data//test\10001\live\496120_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\496120.png
497645,data//test\10001\live\497645.png,data//test\10001\live\497645_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\497645.png
497900,data//test\10001\live\497900.png,data//test\10001\live\497900_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\497900.png
498889,data//test\10001\live\498889.png,data//test\10001\live\498889_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\498889.png
499128,data//test\10001\live\499128.png,data//test\10001\live\499128_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\499128.png
506434,data//test\10001\live\506434.png,data//test\10001\live\506434_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\506434.png
506795,data//test\10001\live\506795.png,data//test\10001\live\506795_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\506795.png
507518,data//test\10001\live\507518.png,data//test\10001\live\507518_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\507518.png
507807,data//test\10001\live\507807.png,data//test\10001\live\507807_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\507807.png
511314,data//test\10001\live\511314.png,data//test\10001\live\511314_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\511314.png
513513,data//test\10001\live\513513.png,data//test\10001\live\513513_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\513513.png
514888,data//test\10001\live\514888.png,data//test\10001\live\514888_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\514888.png
520885,data//test\10001\live\520885.png,data//test\10001\live\520885_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\520885.png
523424,data//test\10001\live\523424.png,data//test\10001\live\523424_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\523424.png
528466,data//test\10001\live\528466.png,data//test\10001\live\528466_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\528466.png
529110,data//test\10001\live\529110.png,data//test\10001\live\529110_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\529110.png
530873,data//test\10001\live\530873.png,data//test\10001\live\530873_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\530873.png
532450,data//test\10001\live\532450.png,data//test\10001\live\532450_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\532450.png
533468,data//test\10001\live\533468.png,data//test\10001\live\533468_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\533468.png
535618,data//test\10001\live\535618.png,data//test\10001\live\535618_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\535618.png
536428,data//test\10001\live\536428.png,data//test\10001\live\536428_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\536428.png
536557,data//test\10001\live\536557.png,data//test\10001\live\536557_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\536557.png
540644,data//test\10001\live\540644.png,data//test\10001\live\540644_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\540644.png
544299,data//test\10001\live\544299.png,data//test\10001\live\544299_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\544299.png
550010,data//test\10001\live\550010.png,data//test\10001\live\550010_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\550010.png
551140,data//test\10001\live\551140.png,data//test\10001\live\551140_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\551140.png
552334,data//test\10001\live\552334.png,data//test\10001\live\552334_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\552334.png
553098,data//test\10001\live\553098.png,data//test\10001\live\553098_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\553098.png
554676,data//test\10001\live\554676.png,data//test\10001\live\554676_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\554676.png
555287,data//test\10001\live\555287.png,data//test\10001\live\555287_BB.txt,1,D:\study\Projects\train_model_baseline\data\data_face_224\555287.png
496397,data//test\10001\spoof\496397.png,data//test\10001\spoof\496397_BB.txt,0,D:\study\Projects\train_model_baseline\data\data_face_224\496397.png
496659,data//test\10001\spoof\496659.png,data//test\10001\spoof\496659_BB.txt,0,D:\study\Projects\train_model_baseline\data\data_face_224\496659.png
498197,data//test\10001\spoof\498197.png,data//test\10001\spoof\498197_BB.txt,0,D:\study\Projects\train_model_baseline\data\data_face_224\498197.png
